Activity,Person's Residence in Preparedness Region,Person's Residence in Local Health Department Jurisdiction,Person's Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Data as of,Number of Doses
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,1,January,2021,1/9/21,38
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/10/21,33
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/11/21,164
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/12/21,207
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/13/21,194
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/14/21,79
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/15/21,45
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,2,January,2021,1/16/21,29
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/17/21,19
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/18/21,172
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/19/21,160
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/20/21,145
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/21/21,92
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/22/21,61
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,3,January,2021,1/23/21,44
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,4,January,2021,1/24/21,47
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,4,January,2021,1/25/21,160
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Hospital,Second Dose,4,January,2021,1/26/21,113
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/4/21,12
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/5/21,7
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/6/21,7
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/7/21,13
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/8/21,22
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,1,January,2021,1/9/21,31
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/10/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/11/21,23
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/12/21,37
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/13/21,377
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/14/21,501
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/15/21,647
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,2,January,2021,1/16/21,37
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/17/21,45
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/18/21,475
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/19/21,521
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/20/21,39
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/21/21,10
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,3,January,2021,1/22/21,34
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,4,January,2021,1/25/21,6
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,First Dose,4,January,2021,1/26/21,4
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,1,January,2021,1/7/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,1,January,2021,1/8/21,7
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,1,January,2021,1/9/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,2,January,2021,1/11/21,7
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,2,January,2021,1/12/21,4
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,2,January,2021,1/13/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,2,January,2021,1/14/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,2,January,2021,1/15/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/18/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/19/21,6
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/20/21,5
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/21/21,5
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/22/21,2
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,3,January,2021,1/23/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,4,January,2021,1/25/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Local Health Department,Second Dose,4,January,2021,1/26/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Other,First Dose,3,January,2021,1/18/21,2
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pediatrics,First Dose,3,January,2021,1/18/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,2,January,2021,1/11/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,2,January,2021,1/12/21,5
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,2,January,2021,1/13/21,5
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,2,January,2021,1/14/21,1
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,2,January,2021,1/15/21,4
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,3,January,2021,1/18/21,21
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,3,January,2021,1/19/21,20
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,3,January,2021,1/20/21,48
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,3,January,2021,1/21/21,33
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,3,January,2021,1/22/21,10
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,4,January,2021,1/25/21,2
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,First Dose,4,January,2021,1/26/21,3
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,Second Dose,2,January,2021,1/11/21,11
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,Second Dose,2,January,2021,1/12/21,15
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,Second Dose,2,January,2021,1/13/21,13
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,Second Dose,2,January,2021,1/14/21,15
2021-22,Region 2S,City of Detroit Health Department,Detroit,Pfizer,Pharmacy,Second Dose,2,January,2021,1/15/21,8
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Family Practice,First Dose,1,January,2021,1/8/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Family Practice,First Dose,2,January,2021,1/11/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Family Practice,First Dose,2,January,2021,1/12/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/5/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/7/21,19
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/8/21,18
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/12/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,3,January,2021,1/18/21,4
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Federally Qualified Health Center,First Dose,3,January,2021,1/19/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,1,January,2021,1/4/21,5
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,1,January,2021,1/6/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,1,January,2021,1/7/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,1,January,2021,1/8/21,6
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,2,January,2021,1/11/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,2,January,2021,1/12/21,3
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,2,January,2021,1/13/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,2,January,2021,1/14/21,6
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,2,January,2021,1/15/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,3,January,2021,1/19/21,4
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,3,January,2021,1/20/21,3
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,3,January,2021,1/21/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,3,January,2021,1/22/21,5
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,3,January,2021,1/23/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,First Dose,4,January,2021,1/26/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,Second Dose,3,January,2021,1/21/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,Second Dose,3,January,2021,1/22/21,5
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,Second Dose,3,January,2021,1/23/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,Second Dose,4,January,2021,1/25/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Hospital,Second Dose,4,January,2021,1/26/21,4
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Internal Medicine,First Dose,3,January,2021,1/21/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/4/21,65
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/5/21,81
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/6/21,135
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/7/21,173
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/8/21,141
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,1,January,2021,1/9/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,2,January,2021,1/11/21,68
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,2,January,2021,1/12/21,37
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,3,January,2021,1/19/21,4
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,3,January,2021,1/20/21,282
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,3,January,2021,1/21/21,313
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,3,January,2021,1/22/21,330
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,3,January,2021,1/23/21,9
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,4,January,2021,1/25/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,First Dose,4,January,2021,1/26/21,53
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,Second Dose,1,January,2021,1/4/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,Second Dose,3,January,2021,1/22/21,23
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Local Health Department,Second Dose,4,January,2021,1/26/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,1,January,2021,1/3/21,2
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,1,January,2021,1/4/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,1,January,2021,1/5/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,1,January,2021,1/7/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,1,January,2021,1/8/21,3
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,2,January,2021,1/13/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,2,January,2021,1/14/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,2,January,2021,1/16/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,First Dose,3,January,2021,1/20/21,2
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Other,Second Dose,4,January,2021,1/25/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/4/21,10
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/5/21,73
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/6/21,37
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/7/21,176
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/8/21,20
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,1,January,2021,1/9/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/10/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/11/21,16
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/12/21,28
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/13/21,66
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/14/21,323
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/15/21,96
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,2,January,2021,1/16/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/18/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/19/21,17
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/20/21,98
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/21/21,9
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/22/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,3,January,2021,1/23/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Pharmacy,First Dose,4,January,2021,1/25/21,2
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Specialty Provider,First Dose,2,January,2021,1/11/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Specialty Provider,First Dose,4,January,2021,1/25/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,3,January,2021,1/19/21,22
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,3,January,2021,1/20/21,36
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,3,January,2021,1/21/21,19
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,3,January,2021,1/22/21,17
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,3,January,2021,1/23/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,4,January,2021,1/24/21,22
2021-22,Region 2S,Monroe County Health Department,Monroe,Moderna,Urgent Care,First Dose,4,January,2021,1/26/21,10
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Family Practice,First Dose,2,January,2021,1/12/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Family Practice,Second Dose,3,January,2021,1/18/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Family Practice,Second Dose,4,January,2021,1/26/21,1
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/4/21,29
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/5/21,21
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/6/21,38
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/7/21,50
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/8/21,44
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,1,January,2021,1/9/21,40
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,2,January,2021,1/10/21,18
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,2,January,2021,1/11/21,26
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,2,January,2021,1/12/21,15
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,2,January,2021,1/15/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/18/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/19/21,22
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/20/21,17
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/21/21,19
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/22/21,28
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,3,January,2021,1/23/21,10
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,4,January,2021,1/24/21,14
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,4,January,2021,1/25/21,16
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,First Dose,4,January,2021,1/26/21,18
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/11/21,7
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/12/21,26
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/13/21,19
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/14/21,34
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/15/21,21
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/16/21,11
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/17/21,12
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/18/21,23
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/19/21,21
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/20/21,21
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/21/21,52
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/22/21,41
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/23/21,29
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/24/21,19
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/25/21,31
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/26/21,26
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/3/21,36
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/4/21,125
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/5/21,31
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/6/21,138
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/7/21,28
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/8/21,122
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,1,January,2021,1/9/21,15
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/10/21,13
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/11/21,167
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/12/21,150
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/13/21,181
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/14/21,135
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/15/21,148
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,2,January,2021,1/16/21,16
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/17/21,10
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/18/21,61
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/19/21,56
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/20/21,75
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/21/21,164
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/22/21,223
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,3,January,2021,1/23/21,150
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,4,January,2021,1/24/21,90
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,4,January,2021,1/25/21,40
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,First Dose,4,January,2021,1/26/21,264
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/4/21,4
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/5/21,3
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/6/21,8
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/7/21,21
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/8/21,38
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,1,January,2021,1/9/21,18
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/10/21,6
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/11/21,98
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/12/21,94
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/13/21,40
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/14/21,25
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/15/21,15
2021-22,Region 2S,Monroe County Health Department,Monroe,Pfizer,Hospital,Second Dose,2,January,2021,1/16/21,8
