Year Range,Persons Residence in Preparedness Region,Persons Residence in Local Health Department Jurisdiction,Persons Residence in County,Vaccine Type,Facility Type,Dose Number,Week,Month,Year,Date,Number of Doses
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,1,January,2021,1/9/2021,191
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,2,January,2021,1/10/2021,92
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,2,January,2021,1/11/2021,112
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,2,January,2021,1/12/2021,78
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,2,January,2021,1/13/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,2,January,2021,1/15/2021,125
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/18/2021,70
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/19/2021,123
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/20/2021,94
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/21/2021,104
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/22/2021,113
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,3,January,2021,1/23/2021,106
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,4,January,2021,1/24/2021,94
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,4,January,2021,1/25/2021,96
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,First Dose,4,January,2021,1/26/2021,87
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,1,January,2021,1/8/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/10/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/11/2021,47
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/12/2021,128
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/13/2021,103
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/14/2021,125
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/15/2021,70
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,2,January,2021,1/16/2021,64
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/17/2021,47
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/18/2021,135
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/19/2021,80
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/20/2021,121
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/21/2021,189
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/22/2021,160
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,3,January,2021,1/23/2021,171
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/24/2021,121
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/25/2021,147
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Home Health Provider,Second Dose,4,January,2021,1/26/2021,127
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/3/2021,395
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/4/2021,983
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/5/2021,739
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/6/2021,758
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/7/2021,760
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/8/2021,665
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,1,January,2021,1/9/2021,439
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/10/2021,175
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/11/2021,699
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/12/2021,973
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/13/2021,1169
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/14/2021,1343
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/15/2021,1451
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,2,January,2021,1/16/2021,729
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/17/2021,582
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/18/2021,1263
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/19/2021,1526
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/20/2021,1640
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/21/2021,1950
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/22/2021,1763
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,3,January,2021,1/23/2021,698
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,4,January,2021,1/24/2021,316
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,4,January,2021,1/25/2021,1107
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,First Dose,4,January,2021,1/26/2021,1196
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/4/2021,37
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/5/2021,106
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/6/2021,196
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/7/2021,389
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/8/2021,742
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,1,January,2021,1/9/2021,344
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/10/2021,163
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/11/2021,1047
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/12/2021,1011
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/13/2021,941
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/14/2021,386
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/15/2021,245
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,2,January,2021,1/16/2021,214
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/17/2021,61
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/18/2021,805
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/19/2021,1038
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/20/2021,958
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/21/2021,680
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/22/2021,414
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,3,January,2021,1/23/2021,383
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,4,January,2021,1/24/2021,203
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,4,January,2021,1/25/2021,925
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Hospital,Second Dose,4,January,2021,1/26/2021,699
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Internal Medicine,First Dose,2,January,2021,1/13/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Internal Medicine,First Dose,2,January,2021,1/15/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Internal Medicine,First Dose,3,January,2021,1/19/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Internal Medicine,First Dose,4,January,2021,1/26/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Internal Medicine,Second Dose,3,January,2021,1/18/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/4/2021,90
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/5/2021,113
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/6/2021,112
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/7/2021,255
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/8/2021,453
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,1,January,2021,1/9/2021,464
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/10/2021,47
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/11/2021,329
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/12/2021,499
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/13/2021,759
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/14/2021,1051
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/15/2021,1023
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,2,January,2021,1/16/2021,438
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/17/2021,54
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/18/2021,162
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/19/2021,193
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/20/2021,161
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/21/2021,21
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/22/2021,187
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,4,January,2021,1/25/2021,20
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,First Dose,4,January,2021,1/26/2021,14
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,1,January,2021,1/5/2021,9
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,1,January,2021,1/6/2021,19
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,1,January,2021,1/7/2021,26
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,1,January,2021,1/8/2021,76
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,1,January,2021,1/9/2021,52
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/10/2021,9
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/11/2021,231
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/12/2021,206
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/13/2021,84
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/14/2021,30
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/15/2021,10
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,2,January,2021,1/16/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/17/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/18/2021,109
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/19/2021,125
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/20/2021,68
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/21/2021,22
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,3,January,2021,1/22/2021,8
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,4,January,2021,1/24/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,4,January,2021,1/25/2021,20
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Local Health Department,Second Dose,4,January,2021,1/26/2021,100
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,1,January,2021,1/4/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,1,January,2021,1/7/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,2,January,2021,1/11/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,2,January,2021,1/13/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,2,January,2021,1/15/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,2,January,2021,1/16/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,3,January,2021,1/19/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,3,January,2021,1/20/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,3,January,2021,1/21/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,3,January,2021,1/22/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,4,January,2021,1/24/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,4,January,2021,1/25/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,First Dose,4,January,2021,1/26/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,Second Dose,2,January,2021,1/12/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Other,Second Dose,3,January,2021,1/23/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,2,January,2021,1/11/2021,13
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,2,January,2021,1/12/2021,8
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,2,January,2021,1/15/2021,14
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,2,January,2021,1/16/2021,13
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,3,January,2021,1/18/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,3,January,2021,1/19/2021,6
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,3,January,2021,1/22/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,First Dose,3,January,2021,1/23/2021,15
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pediatrics,Second Dose,3,January,2021,1/23/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,1,January,2021,1/6/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/11/2021,12
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/12/2021,12
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/13/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/14/2021,7
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/15/2021,7
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,2,January,2021,1/16/2021,4
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/17/2021,32
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/18/2021,159
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/19/2021,222
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/20/2021,972
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/21/2021,715
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,3,January,2021,1/22/2021,99
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,4,January,2021,1/24/2021,14
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,4,January,2021,1/25/2021,153
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,First Dose,4,January,2021,1/26/2021,550
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,Second Dose,2,January,2021,1/11/2021,32
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,Second Dose,2,January,2021,1/12/2021,34
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,Second Dose,2,January,2021,1/13/2021,28
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,Second Dose,2,January,2021,1/14/2021,28
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Pharmacy,Second Dose,2,January,2021,1/15/2021,15
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Specialty Provider,First Dose,1,January,2021,1/6/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Specialty Provider,First Dose,2,January,2021,1/11/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Specialty Provider,First Dose,2,January,2021,1/12/2021,2
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Specialty Provider,First Dose,3,January,2021,1/19/2021,3
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Specialty Provider,First Dose,3,January,2021,1/23/2021,1
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,1,January,2021,1/5/2021,7
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,1,January,2021,1/6/2021,8
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,1,January,2021,1/7/2021,11
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,1,January,2021,1/9/2021,13
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,3,January,2021,1/20/2021,30
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,3,January,2021,1/21/2021,12
2021-22,Region 2S,Wayne County Health Department,Wayne,Pfizer,Urgent Care,First Dose,3,January,2021,1/22/2021,1
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Family Practice,Second Dose,4,January,2021,1/25/2021,1
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/5/2021,6
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/6/2021,26
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/7/2021,8
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,1,January,2021,1/8/2021,13
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/11/2021,14
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/12/2021,2
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/13/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,2,January,2021,1/14/2021,7
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,3,January,2021,1/21/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,3,January,2021,1/22/2021,10
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Federally Qualified Health Center,First Dose,4,January,2021,1/26/2021,117
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,1,January,2021,1/4/2021,15
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,1,January,2021,1/6/2021,29
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,1,January,2021,1/7/2021,3
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,1,January,2021,1/8/2021,55
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,2,January,2021,1/11/2021,26
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,2,January,2021,1/13/2021,31
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,2,January,2021,1/15/2021,44
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,2,January,2021,1/16/2021,2
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/18/2021,12
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/19/2021,11
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/20/2021,2
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/21/2021,14
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/22/2021,2
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,3,January,2021,1/23/2021,13
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,4,January,2021,1/24/2021,15
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,First Dose,4,January,2021,1/25/2021,1
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,3,January,2021,1/18/2021,3
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,3,January,2021,1/19/2021,7
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,3,January,2021,1/20/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,3,January,2021,1/21/2021,6
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,3,January,2021,1/22/2021,58
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,4,January,2021,1/24/2021,1
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,4,January,2021,1/25/2021,38
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Hospital,Second Dose,4,January,2021,1/26/2021,12
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,1,January,2021,1/4/2021,4
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,1,January,2021,1/5/2021,11
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,1,January,2021,1/6/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,1,January,2021,1/7/2021,17
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,1,January,2021,1/8/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,2,January,2021,1/11/2021,6
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,2,January,2021,1/12/2021,11
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,2,January,2021,1/13/2021,7
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,2,January,2021,1/14/2021,8
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,2,January,2021,1/15/2021,3
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,3,January,2021,1/19/2021,9
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,3,January,2021,1/20/2021,23
2021-22,Region 3,Bay County Health Department,Bay,Moderna,Local Health Department,First Dose,3,January,2021,1/21/2021,17
